,fam_id,kid_id,dad_age,dnms
0,0.0,0.0,26.341450090663034,44
1,0.0,1.0,38.44030556913922,61
2,0.0,2.0,23.17642586413183,32
3,0.0,3.0,20.535854186169924,45
4,0.0,4.0,30.68924067214345,56
5,0.0,5.0,21.309200718442494,48
6,0.0,6.0,20.361713087855737,34
7,0.0,7.0,22.507831980595093,40
8,0.0,8.0,34.17289777191307,62
9,0.0,9.0,47.964321215943,66
10,0.0,10.0,48.28672056821444,84
11,0.0,11.0,31.93001151785849,45
12,0.0,12.0,18.513451508469476,35
13,0.0,13.0,43.492948325242736,60
14,1.0,0.0,28.836455353984114,68
15,1.0,1.0,34.392147762990476,64
16,1.0,2.0,23.948879749962824,42
17,1.0,3.0,31.57986682679085,61
18,1.0,4.0,22.036267365609085,37
19,1.0,5.0,47.82548656492768,76
20,1.0,6.0,35.27581789338578,57
21,2.0,0.0,30.70749359926164,63
22,2.0,1.0,40.97452439101122,72
23,2.0,2.0,31.07355585252903,61
24,2.0,3.0,22.080344261378936,40
25,2.0,4.0,19.09133022161494,57
26,2.0,5.0,35.682591238761276,72
27,3.0,0.0,19.330738918698042,37
28,3.0,1.0,39.323008978838004,68
29,3.0,2.0,23.823300758097293,51
30,3.0,3.0,32.33295581493419,72
31,3.0,4.0,30.02707687859452,71
32,3.0,5.0,35.4368626989194,64
33,4.0,0.0,28.796095461621942,67
34,4.0,1.0,45.74201128295533,90
35,4.0,2.0,38.02177693727807,89
36,4.0,3.0,32.69598916822189,74
37,4.0,4.0,43.21361312356481,94
38,4.0,5.0,47.112996112606794,97
39,4.0,6.0,48.33738366288003,89
40,4.0,7.0,39.75841395071467,64
41,4.0,8.0,47.00351929303864,98
42,4.0,9.0,46.10698999243546,96
43,4.0,10.0,30.65113285218439,72
44,5.0,0.0,18.292510775683088,48
45,5.0,1.0,32.789539930665526,74
46,5.0,2.0,34.67213192784274,64
47,5.0,3.0,46.85311481516459,88
48,5.0,4.0,41.17869867854182,66
49,5.0,5.0,31.850620253338125,57
50,5.0,6.0,45.24602475558174,91
51,6.0,0.0,42.0711477758169,65
52,6.0,1.0,41.760598341756776,54
53,6.0,2.0,34.82649926640997,47
54,6.0,3.0,38.58613587336817,53
55,6.0,4.0,29.563559220586008,45
56,6.0,5.0,33.34553786210938,50
57,6.0,6.0,44.47163716996022,71
58,6.0,7.0,21.58910421329622,34
59,6.0,8.0,22.962556610968416,24
60,6.0,9.0,46.66686477586694,63
61,6.0,10.0,22.230887469036492,34
62,6.0,11.0,20.705958645898825,38
63,7.0,0.0,40.771970957808534,67
64,7.0,1.0,39.73566724770083,62
65,7.0,2.0,32.38334417322896,56
66,7.0,3.0,48.14809670474243,90
67,7.0,4.0,45.97074151839182,85
68,7.0,5.0,18.485438337086364,42
69,7.0,6.0,34.71645897053256,72
70,7.0,7.0,31.429255646573324,47
71,7.0,8.0,41.172528160072375,69
72,7.0,9.0,30.928689167670328,66
73,8.0,0.0,47.69214814884013,84
74,8.0,1.0,36.37462800763561,85
75,8.0,2.0,44.048278977129826,92
76,8.0,3.0,49.301407946967004,79
77,8.0,4.0,20.60773699399204,41
78,8.0,5.0,30.12272500918043,75
79,8.0,6.0,25.835475621791335,60
80,8.0,7.0,43.36788280584108,78
81,8.0,8.0,19.72136595435492,39
82,8.0,9.0,29.49615282968889,56
83,9.0,0.0,37.564527429300455,58
84,9.0,1.0,18.0582775412428,35
85,9.0,2.0,39.55238581431955,65
86,9.0,3.0,27.962688564393854,42
87,9.0,4.0,27.4690555495187,48
88,9.0,5.0,34.21337094730532,61
89,9.0,6.0,29.337565873022413,49
